D_Vale,Vibration TOTAL
2021-06-29 16:24:00,5.80086
2021-06-29 19:59:00,5.53534
2021-06-30 15:59:00,4.92443
2021-06-30 16:24:00,5.08527
2021-06-30 17:34:00,6.62193
2021-06-30 18:24:00,5.67274
2021-07-01 15:12:00,5.90762
2021-07-01 15:47:00,5.23832
2021-07-01 17:32:00,5.83952
2021-07-02 11:42:00,6.43817
2021-07-02 12:37:00,5.43783
2021-07-02 13:32:00,5.15461
2021-07-02 13:52:00,5.15461
2021-07-02 14:37:00,5.07346
2021-07-02 15:27:00,5.54437
2021-07-02 15:57:00,5.54437
2021-07-02 16:27:00,5.44059
2021-07-02 17:42:00,5.73934
2021-07-03 09:27:00,5.25071
2021-07-03 09:52:00,5.35257
2021-07-03 10:32:00,5.55518
2021-07-03 11:42:00,5.88727
2021-07-03 13:42:00,5.52901
2021-07-03 15:27:00,6.65808
2021-07-03 16:52:00,6.04401
2021-07-03 20:07:00,5.55248
2021-07-03 20:37:00,5.70351
2021-07-04 16:32:00,5.83438
2021-07-04 17:52:00,5.73585
2021-07-04 18:37:00,5.34883
2021-07-04 20:52:00,5.98832
2021-07-05 08:42:00,5.3376
2021-07-05 09:47:00,5.48179
2021-07-05 11:02:00,6.16685
2021-07-05 13:22:00,6.26897
2021-07-05 13:37:00,5.46352
2021-07-05 14:37:00,6.04152
2021-07-05 14:52:00,6.04152
2021-07-05 15:37:00,5.47449
2021-07-05 16:02:00,5.47449
2021-07-05 16:37:00,5.66922
2021-07-05 17:37:00,4.9163
2021-07-05 18:07:00,4.9163
2021-07-05 19:02:00,5.86089
2021-07-05 19:47:00,5.52359
2021-07-06 08:57:00,5.52992
2021-07-06 14:02:00,5.31131
2021-07-06 16:27:00,5.17397
2021-07-07 00:02:00,5.89746
2021-07-07 03:02:00,6.03407
2021-07-07 03:57:00,6.03158
2021-07-07 05:38:00,5.78965
2021-07-07 05:48:00,5.19615
2021-07-07 06:18:00,5.19615
2021-07-07 08:33:00,5.58122
2021-07-07 10:43:00,5.54346
2021-07-07 11:43:00,5.34696
2021-07-07 12:18:00,5.34696
2021-07-07 13:03:00,5.26403
2021-07-07 15:48:00,5.20577
2021-07-07 17:43:00,6.07454
2021-07-07 18:48:00,6.05392
2021-07-07 20:48:00,5.70789
2021-07-08 15:33:00,6.0564
2021-07-08 19:33:00,6.41093
2021-07-09 12:03:00,5.39073
2021-07-09 17:53:00,6.21047
2021-07-10 10:23:00,6.59469
2021-07-10 12:58:00,5.728
2021-07-10 15:08:00,5.24023
2021-07-10 15:53:00,5.67274
2021-07-10 16:58:00,5.57494
2021-07-10 17:53:00,5.57584
2021-07-10 19:13:00,5.83267
2021-07-11 08:28:00,5.92368
2021-07-11 10:23:00,5.67274
2021-07-11 11:38:00,5.03389
2021-07-11 17:43:00,4.84768
2021-07-11 18:58:00,5.66569
2021-07-12 09:23:00,6.12127
2021-07-12 10:23:00,5.70351
2021-07-12 22:34:00,5.38702
2021-07-13 10:54:00,5.16624
2021-07-13 11:49:00,5.6542
2021-07-13 12:29:00,5.4626
2021-07-13 18:04:00,5.58838
2021-07-14 07:38:00,6.10655
2021-07-14 13:13:00,5.73934
2021-07-14 15:33:00,6.41249
2021-07-14 16:33:00,6.54981
2021-07-14 17:48:00,6.42262
